STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
105;10.5s;car1;car3;19.76226378775567;90.49550228535165;[];-60@car1-wlan1
105;10.5s;car2;No leader;No leader;52.6437926832335;[];-60@car2-wlan1
106;10.6s;car1;car3;19.962781727700154;91.7988091554733;[];-60@car1-wlan1
106;10.6s;car2;No leader;No leader;54.047228381709274;[];-60@car2-wlan1
107;10.7s;car1;car3;20.163299667644637;93.10211602559491;[];-60@car1-wlan1
107;10.7s;car2;No leader;No leader;55.43414767216654;[];-60@car2-wlan1
108;10.8s;car1;car3;20.36381760758912;94.40542289571655;[];-60@car1-wlan1
108;10.8s;car2;No leader;No leader;56.78639398036238;[];-60@car2-wlan1
109;10.9s;car1;car3;20.564335547533602;95.70872976583817;[];-60@car1-wlan1
109;10.9s;car2;No leader;No leader;58.10402490394283;[];-60@car2-wlan1
110;11.0s;car1;car3;20.764853487478085;97.01203663595982;[];-60@car1-wlan1
110;11.0s;car2;No leader;No leader;59.38731372226012;[];-60@car2-wlan1
111;11.1s;car1;car3;20.965371427422568;98.31534350608143;[];-60@car1-wlan1
111;11.1s;car2;No leader;No leader;60.63654848652336;[];-60@car2-wlan1
112;11.2s;car1;car3;21.16588936736705;99.61865037620306;[];-60@car1-wlan1
112;11.2s;car2;No leader;No leader;61.85202014904976;[];-60@car2-wlan1
113;11.3s;car1;car3;21.366407307311533;100.92195724632468;[];-60@car1-wlan1
113;11.3s;car2;No leader;No leader;63.03374181157615;[];-60@car2-wlan1
114;11.4s;car1;car3;21.56692524725602;102.22526411644631;[];-60@car1-wlan1
114;11.4s;car2;No leader;No leader;64.18203490267398;[];-60@car2-wlan1
115;11.5s;car1;car3;21.767443187200506;103.52857098656794;[];-60@car1-wlan1
115;11.5s;car2;No leader;No leader;65.29723975847769;[];-60@car2-wlan1
116;11.6s;car1;car3;21.967961127144992;104.83187785668957;[];-60@car1-wlan1
116;11.6s;car2;No leader;No leader;66.37964447146364;[];-60@car2-wlan1
117;11.7s;car1;car3;22.16847906708948;106.13518472681119;[];-60@car1-wlan1
117;11.7s;car2;No leader;No leader;67.42932191172231;[];-60@car2-wlan1
118;11.8s;car1;car3;22.368997007033965;107.43849159693282;[];-60@car1-wlan1
118;11.8s;car2;No leader;No leader;68.44665560198099;[];-60@car2-wlan1
119;11.9s;car1;car3;22.56951494697845;108.74179846705445;[];-60@car1-wlan1
119;11.9s;car2;No leader;No leader;69.43205380836869;[];-60@car2-wlan1
120;12.0s;car1;car3;22.770032886922937;110.04510533717608;[];-60@car1-wlan1
120;12.0s;car2;No leader;No leader;70.38566497584068;[];-60@car2-wlan1
121;12.1s;car1;car3;22.970550826867424;111.34841220729771;[];-60@car1-wlan1
121;12.1s;car2;No leader;No leader;71.30777614331265;[];-60@car2-wlan1
122;12.2s;car1;car3;23.17106876681191;112.65171907741933;[];-60@car1-wlan1
122;12.2s;car2;No leader;No leader;72.19885282802602;[];-60@car2-wlan1
123;12.3s;car1;car3;23.371586706756396;113.95502594754096;[];-60@car1-wlan1
123;12.3s;car2;No leader;No leader;73.05920273050788;[];-60@car2-wlan1
124;12.4s;car1;car3;23.572104646700883;115.25833281766259;[];-60@car1-wlan1
